problem type;benchmark set;filename;number of orders;capacity;random seed;policy;opt?;UB;LB;time [s]
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-8.txt;20;60;8;traversal;true;2.129;2.129;167,902
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-9.txt;20;60;9;optimal;true;1.974;1.974;6,524
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-9.txt;20;60;9;largest_gap;true;2.163;2.163;29,27
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-9.txt;20;60;9;traversal;true;2.166;2.165,67;117,316
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-0.txt;20;75;0;optimal;false;1.612;1.606,93;255,335
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-0.txt;20;75;0;largest_gap;true;1.802;1.801,52;361,581
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-0.txt;20;75;0;traversal;false;1.760;1.740,79;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-1.txt;20;75;1;optimal;true;2.001;2.000,71;275,793
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-1.txt;20;75;1;largest_gap;true;2.275;2.275;124,31
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-1.txt;20;75;1;traversal;true;2.179;2.178,67;581,511
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-2.txt;20;75;2;optimal;true;1.637;1.637;53,223
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-2.txt;20;75;2;largest_gap;true;1.838;1.838;225,684
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-2.txt;20;75;2;traversal;true;1.748;1.747,55;280,684
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-3.txt;20;75;3;optimal;true;1.496;1.495,54;644,612
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-3.txt;20;75;3;largest_gap;true;1.659;1.658,55;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-3.txt;20;75;3;traversal;true;1.635;1.634,53;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-4.txt;20;75;4;optimal;true;1.191;1.190,74;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-4.txt;20;75;4;largest_gap;true;1.341;1.340,51;2093,22
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-4.txt;20;75;4;traversal;true;1.283;1.282,51;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-5.txt;20;75;5;optimal;true;1.664;1.664;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-5.txt;20;75;5;largest_gap;true;1.855;1.855;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-5.txt;20;75;5;traversal;true;1.802;1.802;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-6.txt;20;75;6;optimal;false;1.469;1.462,61;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-6.txt;20;75;6;largest_gap;true;1.673;1.672,67;1241,79
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-6.txt;20;75;6;traversal;true;1.552;1.551,53;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-7.txt;20;75;7;optimal;true;1.796;1.795,80;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-7.txt;20;75;7;largest_gap;true;1.986;1.985,83;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-7.txt;20;75;7;traversal;true;1.987;1.986,68;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-8.txt;20;75;8;optimal;false;1.390;1.381,96;674,289
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-8.txt;20;75;8;largest_gap;true;1.529;1.528,56;2538,53
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-8.txt;20;75;8;traversal;false;1.601;1.538,82;1375,77
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-9.txt;20;75;9;optimal;false;1.461;1.460,06;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-9.txt;20;75;9;largest_gap;false;1.688;1.677,11;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-9.txt;20;75;9;traversal;false;1.641;1.624,39;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-0.txt;20;30;0;optimal;true;3.743;3.743;57,477
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-0.txt;20;30;0;largest_gap;true;3.940;3.940;31,839
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-0.txt;20;30;0;traversal;true;4.612;4.612;189,114
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-1.txt;20;30;1;optimal;true;3.450;3.450;300,995
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-1.txt;20;30;1;largest_gap;true;3.671;3.671;28,023
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-1.txt;20;30;1;traversal;true;4.053;4.053;33,53
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-2.txt;20;30;2;optimal;true;3.207;3.207;176,742
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-2.txt;20;30;2;largest_gap;true;3.440;3.440;101,876
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-2.txt;20;30;2;traversal;true;3.885;3.885;13,057
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-3.txt;20;30;3;optimal;true;3.877;3.877;111,363
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-3.txt;20;30;3;largest_gap;true;4.020;4.020;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-3.txt;20;30;3;traversal;true;4.769;4.769;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-4.txt;20;30;4;optimal;true;2.922;2.922;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-4.txt;20;30;4;largest_gap;true;3.103;3.103;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-4.txt;20;30;4;traversal;true;3.465;3.465;2249,65
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-5.txt;20;30;5;optimal;true;3.448;3.448;2498,47
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-5.txt;20;30;5;largest_gap;true;3.627;3.627;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-5.txt;20;30;5;traversal;true;4.091;4.091;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-6.txt;20;30;6;optimal;true;3.959;3.959;926,022
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-6.txt;20;30;6;largest_gap;true;4.069;4.069;2424,29
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-6.txt;20;30;6;traversal;true;4.755;4.755;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-7.txt;20;30;7;optimal;true;3.505;3.505;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-7.txt;20;30;7;largest_gap;true;3.701;3.701;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-7.txt;20;30;7;traversal;true;4.115;4.115;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-8.txt;20;30;8;optimal;true;3.052;3.052;3241,57
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-8.txt;20;30;8;largest_gap;true;3.230;3.230;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-8.txt;20;30;8;traversal;true;3.592;3.592;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-9.txt;20;30;9;optimal;true;2.996;2.996;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-9.txt;20;30;9;largest_gap;true;3.123;3.123;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-9.txt;20;30;9;traversal;true;3.578;3.578;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-0.txt;20;45;0;optimal;true;2.686;2.686;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-0.txt;20;45;0;largest_gap;true;2.957;2.957;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-0.txt;20;45;0;traversal;true;3.134;3.134;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-1.txt;20;45;1;optimal;true;2.092;2.092;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-1.txt;20;45;1;largest_gap;true;2.324;2.323,83;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-1.txt;20;45;1;traversal;true;2.339;2.338,60;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-2.txt;20;45;2;optimal;true;2.621;2.621;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-2.txt;20;45;2;largest_gap;true;2.810;2.810;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-2.txt;20;45;2;traversal;true;2.996;2.996;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-3.txt;20;45;3;optimal;true;2.530;2.529,67;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-3.txt;20;45;3;largest_gap;true;2.763;2.763;12,754
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-3.txt;20;45;3;traversal;true;2.767;2.767;192,532
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-4.txt;20;45;4;optimal;true;2.583;2.583;31,215
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-4.txt;20;45;4;largest_gap;true;2.796;2.796;1503,44
