;;;traversal;traversal;traversal;traversal;traversal;traversal;traversal;traversal;return;return;return;return;return;return;return;return;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;combined;combined;combined;combined;combined;combined;combined;combined;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal
;;;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2
capacity;numOrders;instNum;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime
24;250;4;6862.4;False;6862.14;TL;6862.4;118.63;6886.4;120;8206.4;False;8202.78;TL;8249;120;8270.4;120;6809;False;6805.79;TL;6864.8;120;6868;120;6624.6;False;6622.29;TL;6702;120;6673.8;120;6483.4;False;6474.06;TL;6549;120;6647.2;120;6307.2;False;6291.94;TL;6359;120;6443.8;120
24;250;5;6756.6;False;6755.9;TL;6756.6;78.77;6829.4;120;8102.2;False;8083.84;TL;8142.6;120;8149.4;120;6785.2;False;6782.19;TL;6893.4;120;6807.2;120;6575;False;6567;TL;6634.6;120;6589.4;120;6449.6;False;6437.07;TL;6564.6;120;6522.4;120;6271.2;False;6261.75;TL;6323.8;120;6303;120
24;250;6;6766;False;6764.19;TL;6841.2;120;6788.2;120;8211.6;False;8192.62;TL;8314;120;8247.2;120;6835;False;6828.09;TL;6899.6;120;6850;120;6616.4;False;6602.48;TL;6655.4;120;6625.4;120;6460.6;False;6450;TL;6583.6;120;6472.2;120;6315;False;6300.35;TL;6417.4;120;6319.2;120
24;250;7;6777.8;False;6774.74;TL;6782;120;7924.2;120;8158.6;False;8138.78;TL;8232;120;8290.6;120;6701.4;False;6687.83;TL;6782.6;120;6723.2;120;6506.2;False;6505.26;TL;6591.8;120;6516.2;120;6404.4;False;6400.44;TL;6514.8;120;6460.8;120;6234;False;6222.66;TL;6257;120;6271.8;120
24;250;8;6763.4;False;6761.67;TL;6769.4;120;6803.8;120;8226.2;False;8221.04;TL;8252;120;8259.6;120;6605.2;False;6597.63;TL;6619.2;120;6616.4;120;6461.8;False;6452.82;TL;6524.2;120;6507.6;120;6375.2;False;6366.18;TL;6474.2;120;6387.2;120;6184.6;False;6167.67;TL;6267.2;120;6188.6;120
24;250;9;6767;False;6756.08;TL;6818.2;120;6817.2;120;8142.8;False;8142.14;TL;8176.8;120;8154.2;120;6761.6;False;6753.55;TL;6838;120;6786.4;120;6571.2;False;6559.6;TL;6658.4;120;6603.2;120;6420.6;False;6409.06;TL;6484.2;120;6508.8;120;6249.2;False;6236.3;TL;6325.2;120;7034.6;120
24;250;10;6698.4;True;6698.4;1516.86;6780.4;120;6725.6;120;8091.6;False;8069.26;TL;8178.8;120;8194.6;120;6747.6;False;6732.9;TL;6857.8;120;6812.8;120;6531;False;6521.22;TL;6657;120;6550;120;6422.2;False;6403.97;TL;6551.6;120;6493;120;6240.4;False;6225.67;TL;6341.4;120;6358.4;120
36;100;1;2023.4;True;2023.4;2812.98;2077.2;120;2033.4;120;2525.6;False;2523.21;TL;2538.2;118.97;2528.8;120;2158.4;True;2158.4;2060.86;2210.4;120;2167.6;120;2078.6;True;2078.6;2170.79;2135.4;120;2082.8;120;1949;True;1949;345.38;1964.4;120;1949;120;1919.6;True;1919.6;2584.93;2016.2;120;1925.8;120
36;100;2;2019;False;2010.83;TL;2049.8;120;2024.2;120;2557.8;False;2557.3;TL;2610;118.98;2566.6;120;2161.2;True;2161.2;791.98;2178;120;2163.2;120;2075.6;True;2075.6;1261.83;2104.8;120;2079.6;120;1938.2;True;1938.2;1442.2;1960.4;120;1941.4;120;1911;True;1911;2015.47;1987.4;120;1919;120
36;100;3;1994.8;False;1993.02;TL;2000.4;120;1994.8;120;2585.4;False;2581.98;TL;2590.8;119.02;2603.4;120;2160.4;True;2160.4;1237.9;2166.4;120;2160.4;120;2070.8;False;2068.91;TL;2080.4;120;2075.6;120;1951;False;1950.18;TL;1976.6;120;1953.8;120;1917.4;True;1917.4;3254.02;1928.4;120;1931;120
36;100;4;2007.4;False;2006.77;TL;2107.4;120;2007.6;120;2565.6;True;2565.6;1409.01;2584.4;119.23;2578.4;120;2174.6;False;2171.53;TL;2186.6;120;2187;120;2063.2;True;2063.2;1688.45;2088.2;120;2068.2;120;1942;True;1942;315.6;1949;120;1949;120;1916.8;False;1910.86;TL;1918.8;120;1929.6;120
